preco,bairro,area,quartos,suites,vagas,andar,banheiros,salao de festas,mobiliado,varanda,academia,espaco gourmet,playground,churrasqueira,piscina
R$ 1.569.063,Canto,133,3,3,2,9,4,0,0,1,0,0,1,1,1
R$ 850.000,Agronômica,84,3,1,1,,2,1,1,0,0,1,0,1,0
R$ 820.000,Estreito,99,3,1,1,,2,0,0,0,0,0,0,0,0
R$ 950.000,Itacorubi,69,2,1,2,,2,1,0,1,1,0,1,1,1
R$ 590.000,Itacorubi,42,1,0,2,2,1,1,0,1,1,1,0,1,1
R$ 900.000,Estreito,115,2,1,1,6,1,0,0,1,0,0,0,0,0
R$ 890.000,Agronômica,75,3,1,2,,2,0,0,0,0,0,0,0,0
R$ 1.198.000,Canto,127,3,2,2,,1,1,0,1,1,0,1,0,0
R$ 600.000,Estreito,119,3,1,1,2,2,1,0,0,0,0,1,0,0
R$ 1.250.000,Itacorubi,89,2,2,1,,3,1,1,1,1,1,1,1,1
R$ 850.000,Estreito,94,2,1,1,,2,1,0,1,1,0,1,0,0
R$ 450.000,Jardim Atlântico,62,2,0,1,,1,1,0,1,0,0,0,0,0
R$ 685.000,Agronômica,94,4,1,1,4,3,1,0,0,0,0,0,0,0
R$ 695.000,Estreito,119,4,2,1,,3,1,0,0,0,0,1,0,0
R$ 750.000,Jardim Atlântico,97,3,1,1,,2,0,0,0,0,0,0,0,0
R$ 2.100.000,Agronômica,94,2,2,1,7,3,1,0,1,1,0,0,0,0
R$ 636.000,Trindade,90,3,1,1,2,3,0,0,0,0,0,0,0,0
R$ 730.000,Itacorubi,110,2,1,1,2,2,1,1,1,1,1,0,1,1
R$ 449.000,Balneário,61,2,0,1,4,1,0,0,0,0,0,0,0,0
R$ 850.000,Trindade,65,2,1,1,,2,0,0,0,0,0,0,0,0
R$ 1.025.365,Canto,80,2,2,1,,1,1,0,1,1,1,1,1,0
R$ 1.800.000,Agronômica,127,3,1,3,,2,1,0,0,0,0,1,1,1
R$ 725.000,Estreito,95,2,1,1,,2,1,1,1,0,0,0,0,0
R$ 848.000,Jardim Atlântico,66,2,1,1,,2,0,0,0,0,0,0,0,0
R$ 1.385.000,Capoeiras,129,3,3,2,8,4,1,1,1,0,0,1,1,0
R$ 800.000,Estreito,90,3,1,1,,2,1,0,0,0,0,1,1,0
R$ 849.000,Itacorubi,69,2,1,1,,2,0,1,0,0,0,0,0,0
R$ 580.000,Estreito,87,3,0,1,,2,0,0,0,0,1,0,1,0
R$ 529.000,Estreito,60,2,0,1,,1,1,1,0,0,0,0,0,0
R$ 1.750.000,Agronômica,130,4,2,2,,4,1,0,0,0,0,0,0,1
R$ 1.500.000,Canto,169,3,3,2,3,4,1,0,0,1,1,0,0,0
R$ 949.500,Itacorubi,75,2,1,1,,2,1,0,1,0,1,1,1,1
R$ 560.000,Itacorubi,57,2,0,1,2,1,0,0,1,1,1,1,1,0
R$ 650.000,Itacorubi,72,2,1,1,5,1,1,1,1,0,0,0,1,0
R$ 849.000,Itacorubi,66,2,1,1,,2,1,0,1,1,0,1,0,1
R$ 450.000,Estreito,68,2,0,1,3,1,1,0,0,0,0,0,0,0
R$ 850.000,Itacorubi,70,2,1,1,,2,1,1,1,1,1,1,1,1
R$ 1.485.000,Itacorubi,112,3,2,2,,3,0,0,1,1,1,1,1,1
R$ 430.000,Estreito,75,3,1,1,,2,1,0,0,0,0,0,0,0
R$ 820.000,Trindade,73,3,0,1,4,2,0,1,1,0,1,0,0,0
R$ 1.800.000,Itacorubi,127,4,1,2,,2,1,0,0,0,0,1,1,1
R$ 909.000,Canto,70,2,1,1,7,2,1,0,1,1,1,1,1,1
R$ 1.100.000,Canto,85,3,1,1,,2,1,0,1,1,1,1,1,1
R$ 855.000,Itacorubi,69,2,1,1,,2,1,0,1,1,1,1,1,1
R$ 670.000,Itacorubi,57,2,0,1,,1,1,0,0,0,1,1,0,0
R$ 850.000,Estreito,132,2,1,1,,2,1,0,1,0,0,0,0,0
R$ 950.000,Estreito,116,,1,1,8,,1,1,1,0,0,0,0,0
R$ 680.000,Estreito,74,,1,1,3,,1,1,1,1,0,1,1,0
R$ 749.000,Itacorubi,65,2,1,2,,2,1,0,0,1,0,1,0,0
R$ 889.900,Itacorubi,71,2,1,1,6,2,1,0,1,1,1,1,1,1
R$ 430.000,Trindade,53,2,0,1,1,,1,0,0,0,1,1,1,0
R$ 750.000,Agronômica,76,3,1,1,,2,0,0,0,0,0,0,0,0
R$ 1.490.000,Itacorubi,89,3,1,4,,2,1,1,1,1,1,1,1,1
R$ 850.000,Trindade,69,2,1,1,,2,0,1,0,0,1,1,0,0
R$ 870.000,Itacorubi,77,2,1,2,,1,1,0,0,0,1,1,1,0
R$ 1.660.976,Estreito,108,3,3,2,,3,1,0,0,0,0,1,1,1
R$ 990.000,Itacorubi,113,2,2,2,,3,1,0,1,1,0,0,0,0
R$ 810.000,Itacorubi,68,2,1,1,,2,1,0,1,1,1,1,1,1
R$ 945.000,Trindade,69,2,1,1,4,2,1,0,0,1,1,1,1,0
